##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	SRR492407_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	45521342
Sequences flagged as poor quality	0
Sequence length	101
%GC	39
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	46-47	0.12487278562997517
1104	48-49	0.12364619767851082
1104	50-51	0.11257988494979188
1104	52-53	0.2702827506397263
1104	54-55	0.24249707983607394
1104	56-57	0.3542250462015488
1104	58-59	0.3614882758948923
1104	60-61	0.4841135022705032
1104	62-63	0.5985722005998717
1104	64-65	0.575598149384696
1104	66-67	0.6053326923615785
1104	68-69	0.5802383371515631
1104	70-71	0.36263125287916864
1104	72-73	0.18546186117592356
1104	74-75	0.14023972293759002
1104	76-77	0.21368079877484547
1104	78-79	0.3392123629668191
1104	80-81	0.43934107285451773
1104	82-83	0.47237814104759224
1104	84-85	0.710890372727043
1104	86-87	0.9359868035614589
1104	88-89	0.7359585980928358
1104	90-91	0.784027173309461
1104	92-93	0.6854484860054448
1104	94-95	0.7683195441786488
1104	96-97	0.8372458718646847
1104	98-99	0.9486673076545635
1104	100-101	1.1164193901664632
1105	1	-0.0218444786057006
1105	2	-0.012803782458448154
1105	3	-0.04811105556259321
1105	4	0.002117346114907548
1105	5	-0.03325494053994049
1105	6	0.008063933500373821
1105	7	0.04942793118281941
1105	8	0.049220974286306785
1105	9	-0.025509011781707613
1105	10-11	0.09150748254327823
1105	12-13	0.16320593414685192
1105	14-15	0.14838115221682102
1105	16-17	0.23800519570979617
1105	18-19	0.24191721820118062
1105	20-21	0.19466955132215702
1105	22-23	0.23964424977375387
1105	24-25	0.11849787680174728
1105	26-27	-0.07718579838554973
1105	28-29	-0.08873812216300792
1105	30-31	-0.07880045814471259
1105	32-33	-0.09591503507505905
1105	34-35	-0.10476302319127484
1105	36-37	-0.035053135011040126
1105	38-39	-0.102415302804296
1105	40-41	0.017905385825635278
1105	42-43	0.028305039821866274
1105	44-45	0.0101495460728529
1105	46-47	0.15538644778745692
1105	48-49	0.17156972526373693
1105	50-51	0.24124150723801918
